date,final_price
2021-07-05,14.67
2021-07-06,14.54
2021-07-07,14.51
2021-07-08,14.6
2021-07-09,14.53
2021-07-12,14.22
2021-07-13,14.12
2021-07-14,14.05
2021-07-15,13.77
2021-07-16,13.82
2021-07-19,13.87
2021-07-20,13.94
2021-07-21,14.02
2021-07-22,13.81
2021-07-23,13.66
2021-07-26,13.53
2021-07-27,13
2021-07-28,12.76
2021-07-29,12.8
2021-07-30,13.21
2021-08-02,13.39
2021-08-03,13.55
2021-08-04,13.42
2021-08-05,13.29
2021-08-06,13.06
2021-08-09,13.4
2021-08-10,13.39
2021-08-11,13.22
2021-08-12,13.07
2021-08-13,13.03
2021-08-16,13.25
2021-08-17,12.81
2021-08-18,12.77
2021-08-19,12.77
2021-08-20,12.5
2021-08-23,12.46
2021-08-24,12.52
2021-08-25,12.62
2021-08-26,12.41
2021-08-27,12.33
2021-08-30,12.14
2021-08-31,11.86
2021-09-01,12.2
2021-09-02,12.01
2021-09-03,12.04
2021-09-06,12.34
2021-09-07,12.33
2021-09-08,12.59
2021-09-09,12.55
2021-09-10,12.63
2021-09-13,12.75
2021-09-14,12.82
2021-09-15,13
2021-09-16,12.7
2021-09-17,12.99
2021-09-22,12.93
2021-09-23,12.9
2021-09-24,12.68
2021-09-27,12.49
2021-09-28,12.45
2021-09-29,11.98
2021-09-30,12.01
2021-10-08,12.38
2021-10-11,12.24
2021-10-12,12.09
2021-10-13,12.12
2021-10-14,11.96
2021-10-15,11.79
2021-10-18,11.75
2021-10-19,11.82
2021-10-20,11.8
2021-10-21,11.72
2021-10-22,11.69
2021-10-25,11.84
2021-10-26,11.88
2021-10-27,11.76
2021-10-28,11.37
2021-10-29,11.65
2021-11-01,12.58
2021-11-02,12.42
2021-11-03,12.27
2021-11-04,12.43
2021-11-05,12.47
2021-11-08,12.58
2021-11-09,12.58
2021-11-10,12.83
2021-11-11,12.84
2021-11-12,12.8
2021-11-15,12.86
2021-11-16,12.8
2021-11-17,12.8
2021-11-18,12.65
2021-11-19,12.66
2021-11-22,12.44
2021-11-23,12.56
2021-11-24,12.93
2021-11-25,13.31
2021-11-26,13.23
2021-11-29,13.18
2021-11-30,14.5
